Gene_Probe,HL60_S4_C13,RG16_2_3,RG16_3_1,RG16_set2_C13,RG16_set3_C11,RG17_2_5,RG17_2_7,RG17_3_3,RG17_3_6,RG17_set2_C15,RG17_set2_C17,RG17_set3_C13,RG17_set3_C16,RG19_2_2,RG19_2_6,RG19_3_1,RG19_set2_C12,RG19_set2_C16,RG19_set3_C11,RG20_2_3,RG20_2_6,RG26_set2_C115,RG34_2_9,RG34_3_8,RG34_set3_C18,HL60_S4_C13B,RG14_3_1B,RG14_set3_C11B,RG16_2_3B,RG16_3_1B,RG16_set2_C13B,RG16_set3_C11B,RG17_set2_C15B,RG17_set2_C17B,RG17_set3_C13B,RG17_set3_C16B,RG19_set2_C12B,RG19_set2_C16B,RG19_set3_C11B,RG20_set2_C16B,RG26_set2_C115B,RG34_set3_C18B
LAGE3,0.706270003,0.465783795,0.501710473,0.487110289,0.548561481,0.651405893,0.598768959,0.635090539,0.619389902,0.603627961,0.473610044,0.329363255,0.371501969,0.456062187,0.627088993,0.236855185,0.314451706,0.414890201,0.461234161,0.589970766,0.492108511,0.528333237,0.20605455,0.488995925,0.444195107,0.813932444,0.610844086,0.558274618,0.38329591,0.568884407,0.409300914,0.525248807,0.518673792,0.526788694,0.541518966,0.496634103,0.465351988,0.603623263,0.545073112,0.542968634,0.489918381,0.529699178
IL8RB,-0.757854091,-1.562030494,-1.324119489,-1.599690696,-1.5208486,-1.082887582,-1.295774895,-1.1318759,-1.14313844,-1.237591369,-1.179801905,-1.205499465,-1.476354993,-1.233628905,-1.271720023,-1.070026064,-1.633369094,-1.449010364,-1.404789853,-1.236857616,-1.36054949,-1.306760179,-1.509480183,-1.435958976,-1.255988215,-0.694851454,-1.16515659,-1.264423989,-1.668445739,-1.315369523,-1.459209543,-1.441316368,-1.37593755,-1.344199548,-1.261279159,-1.308521579,-1.231972926,-1.340379578,-1.31577455,-1.249527065,-1.283378185,-1.232201692
GMPR,-1.003117776,-1.657793526,-1.203388293,-1.654352831,-1.565369982,-1.292048237,-1.581052504,-1.119367988,-1.281776067,-1.486125447,-1.196312997,-1.64774718,-1.302921203,-1.283877571,-1.41528703,-1.663824349,-1.692362978,-1.484291839,-1.371972508,-1.077497679,-1.233286338,-1.209282864,-2.083120871,-1.22103192,-1.04276703,-1.072263524,-1.101130362,-1.182633722,-1.623571869,-1.18231039,-1.875565773,-1.685524298,-1.757511525,-1.567976042,-1.506802714,-1.123050126,-1.250434653,-1.494779465,-1.123276845,-1.102517528,-1.204766203,-1.152798473
SDCCAG3_1,-0.970884584,-1.1791056,-1.110744253,-1.281601064,-1.200822442,-1.612352906,-1.596937302,-1.474992543,-1.419290026,-1.794303336,-0.965190771,-1.469045387,-0.926856538,-1.051066236,-1.488236048,-0.787997587,-1.316106672,-1.127219709,-1.665708249,-1.485172091,-1.205193386,-1.871247116,-1.193020455,-1.300363237,-1.566261998,-1.529579796,-1.521038063,-1.382366071,-1.389005692,-1.316565629,-1.482418154,-1.077362597,-1.375248518,-1.41258817,-1.267830886,-1.057019524,-1.048179194,-1.493801499,-1.454486347,-1.253603244,-1.341770429,-1.545406359
ACTB,1.381645221,1.340131997,1.332187418,1.365227224,1.425372394,1.414489308,1.356271661,1.390734348,1.412906373,1.400512495,1.354149064,1.327942891,1.322749225,1.348018554,1.419680398,1.128680097,1.365091802,1.356923047,1.377141193,1.425943218,1.424344572,1.398938101,1.331570329,1.295240428,1.139537207,1.374433114,1.38316087,1.409574467,1.397472243,1.38298264,1.404521664,1.385345187,1.41329736,1.360693602,1.45759768,1.427916161,1.40927112,1.332784465,1.388566552,1.381501923,1.414048826,1.216288677
MCM4,0.265327911,0.0998904,0.164337253,0.053446717,0.085369556,0.070455565,0.070732855,0.040767976,0.169663582,-0.021855421,0.107591535,0.203058438,0.199611565,0.03436409,0.013825004,-0.099517424,0.193619981,0.247559538,0.109597786,0.037143338,0.00765536,-0.060781021,0.058351333,0.121035456,0.178687009,0.068021662,0.044547968,-0.060767876,0.394638209,-0.044767022,0.153915116,0.136540463,0.254798649,0.139662979,-0.08507483,-0.066648721,-0.008815668,0.036844749,-0.055628136,-0.056322281,-0.036266407,-0.036770798
DDX24,0.61768931,0.270593793,0.305635791,0.334614896,0.246151563,0.531800232,0.577242867,0.566487156,0.552048576,0.459945557,0.386882195,0.261419645,0.264034274,0.291209076,0.564926025,0.256711868,0.099552607,-0.116025119,0.275834186,0.477679329,0.284950198,0.410667118,0.257221615,0.333370948,0.461289908,0.708762888,0.452937438,0.452230785,-0.045389064,0.394948099,0.329215676,0.376724882,0.334025836,0.390644379,0.435861317,0.419347688,0.354987964,0.406025223,0.388757035,0.467074269,0.402423966,0.536391171
CD79A,-0.279741641,0.072485184,-0.122428119,0.043671466,0.246144727,0.051335753,-0.141399043,-0.021800938,-0.214725932,0.106482226,-0.224291204,0.094907216,-0.027484221,-0.130209388,0.10193103,-0.520210595,-0.099405584,-0.190578192,-0.015041114,-0.035002364,-0.136162905,-0.04575277,-0.270769156,0.04611471,-0.405483732,0.007139163,-0.025452519,-0.132836176,0.480170086,-0.02951201,-0.037860721,0.072435654,0.237092429,0.141559332,0.26984752,-0.124169224,-0.201775957,-0.036044249,-0.004948668,-0.045963357,-0.053141288,-0.300343003
FCN1,-0.189506303,-0.154616986,-0.326528863,-0.025793354,-0.082081389,-0.018478049,-0.009984937,-0.039803018,-0.313100334,-0.042494667,-0.321116429,-0.146953899,-0.239752124,-0.436405779,0.126553102,-0.540890225,-0.099799007,-0.335417278,-0.127584512,-0.071639504,-0.297873078,-0.092181727,-0.283710324,-0.366477146,-0.428746495,0.050324693,-0.053238823,-0.078319097,0.19535762,-0.187474228,-0.095897699,-0.183920637,0.077973581,0.024629406,-0.052834375,-0.257539924,-0.163689209,-0.169292896,-0.148944503,-0.356201487,-0.170571112,-0.320649638
TUBA1A,1.12310901,1.281777342,1.254229309,1.161803177,1.168879862,1.212039529,1.1972616,1.24657911,1.151750561,1.315367804,1.274554185,1.057974414,1.159232942,1.27107423,1.231023561,1.327062629,1.051844238,1.188154926,1.168216774,1.262360659,1.281652339,1.332789827,1.101974775,1.169785176,1.194794325,1.103412839,1.202832902,1.246659163,1.04174928,1.292285601,1.175095343,1.200676004,1.187027467,1.200169203,1.245621652,1.316185328,1.237941765,1.354253786,1.273021018,1.321348968,1.349468612,1.254292172
CCND1,0.547750849,0.47725027,0.537088932,0.563994455,0.440774534,0.518690611,0.506354172,0.500315435,0.504587076,0.482328427,0.577774201,0.576806817,0.504447831,0.591338083,0.502326642,0.466220509,0.639365282,0.592078457,0.572677147,0.552544901,0.632501618,0.617802706,0.406123745,0.506297648,0.484126201,0.50646827,0.508957243,0.526580388,0.709491674,0.53945196,0.568057162,0.462604142,0.444641271,0.569746224,0.512226825,0.532690926,0.622791466,0.525860228,0.54779769,0.527283584,0.600547832,0.472599915
MCP1/CCL2,0.295725057,0.021218238,0.177250853,-0.11467754,-0.113642425,-0.038362398,0.05602653,-0.046756223,0.231780724,-0.032069837,0.169940164,0.028714384,0.209396181,0.115175843,-0.151422628,0.299649636,-0.002673824,-0.283778796,0.194155944,0.024713345,0.072728489,0.035088334,0.143144954,-0.138082403,0.143430776,0.151754652,0.117887025,0.152320529,-0.114988891,0.096366647,-0.105825336,0.110596282,-0.20764402,0.010713765,-0.085299396,0.20877136,0.144576499,0.015863995,0.268279091,0.069473893,0.056374585,0.016466213
C5AR1,-0.876418239,0.138726491,-0.095077564,0.086701296,0.170939476,-0.282017731,-0.128595996,-0.288200565,-0.452509045,0.155960094,-0.058871237,0.062651768,0.018922239,0.011106934,-0.064724549,0.391638878,-0.066516302,-0.363205837,0.00119551,-0.126502126,0.034830204,0.044862903,0.045128729,-0.018664266,-0.243358111,-0.561326398,-0.111318039,0.010521004,0.208336163,0.036248225,0.018400031,0.113693873,0.171045561,0.164653372,0.206843307,0.062852496,-0.031601973,-0.013892344,0.055284548,0.045166685,0.042462748,-0.160668942
NFXL1,0.353180165,0.525935395,0.419900476,0.479566345,0.447053665,0.441694766,0.488020931,0.440116586,0.425490458,0.43830839,0.408059125,0.489485955,0.442257228,0.426972465,0.438478521,0.461822194,0.472323419,0.449613137,0.4302229,0.424908986,0.459043738,0.404629282,0.382833294,0.496854133,0.568816548,0.412386491,0.416784269,0.417625599,0.458673459,0.464586409,0.449367118,0.440201178,0.418185562,0.468487999,0.460225831,0.43461626,0.45203885,0.445799605,0.388143782,0.445905063,0.416918306,0.566903247
HPRT,0.989977147,1.136569489,0.872921758,1.035769697,1.221942561,1.038988513,1.154547309,1.089324468,1.007436317,1.168852161,0.88709071,0.944020216,0.972008965,0.891249472,1.203094153,1.079948916,0.825507481,1.189511774,0.967035627,0.984695215,0.881330736,0.881383502,1.309588686,1.074834198,1.054650069,1.121580255,1.006322979,1.031663905,1.059201057,1.000143039,1.007668009,1.099540669,1.17999149,1.06797192,1.1350371,0.970119636,0.881459727,1.232302645,1.017510887,1.078267581,0.899542799,1.153249735
CCNB2,0.01159836,-0.118128186,-0.047210415,-0.126860247,0.003125121,-0.144337876,-0.162240599,-0.146155085,0.003137509,-0.28688871,-0.145668048,-0.068311625,-0.035213105,-0.213117119,-0.214504654,-0.460497371,0.174983486,0.153631663,-0.161483215,-0.219094068,-0.385226142,-0.264331764,-0.065002856,-0.039057488,0.001617263,-0.156268047,-0.130919184,-0.334311209,0.13122319,-0.266947091,-0.220637584,-0.183436236,-0.003773296,-0.288901936,-0.234395021,-0.332822678,-0.245515155,-0.354628958,-0.223819826,-0.174892931,-0.325661491,-0.32856813
CD9,-2.720572572,-2.012801059,-2.694219947,-1.784895888,-1.701619347,-2.403481454,-2.059578127,-2.121503479,-1.924926717,-2.313452459,-2.744244383,-1.978136554,-2.260551917,-2.581084199,-1.942493483,-2.570111598,-1.820468513,-1.625740597,-2.180880824,-2.213059369,-2.515939009,-2.392775573,-1.9466362,-2.318463532,-2.078359396,-2.218126689,-2.469630722,-2.59414808,-1.470270996,-2.600555526,-1.991922848,-2.044385594,-1.881439203,-1.91993351,-2.26619658,-2.818376547,-2.756209414,-2.0036582,-2.546992649,-2.585136449,-2.54868354,-2.056858838
IFIT2,-1.770304032,-1.688901983,-1.394649635,-1.532117052,-1.439736104,-1.845682683,-1.799019947,-1.622168446,-1.618600638,-1.48132642,-2.07402844,-1.746484218,-1.469432952,-1.275528417,-1.912394398,-0.945165603,-1.571578741,-1.355561727,-1.47941302,-1.64759826,-1.457891744,-1.611350522,-1.552494263,-1.657103677,-1.352736468,-2.012711851,-1.731052272,-1.36474925,-1.74805807,-1.470732514,-1.503010741,-1.819976093,-1.639215197,-1.681917986,-1.852883164,-1.483752766,-1.322220577,-1.470818219,-1.405052157,-1.631924785,-1.403595385,-1.833813005
